prob_cancel,actual,risk_segment,recommended_action
0.7574962,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.61187434,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.28894717,0,✅ Safe,Tidak ada tindakan
0.2666432,0,✅ Safe,Tidak ada tindakan
0.78465927,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.26266238,0,✅ Safe,Tidak ada tindakan
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.57888675,1,⚠️ Low Risk,Kirim reminder email
0.24688165,0,✅ Safe,Tidak ada tindakan
0.6038433,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.5339715,0,⚠️ Low Risk,Kirim reminder email
0.86612564,1,⚠️ High Risk,Minta deposit 100%
0.2537747,0,✅ Safe,Tidak ada tindakan
0.7839516,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.371603,0,✅ Safe,Tidak ada tindakan
0.598104,0,⚠️ Low Risk,Kirim reminder email
0.26399127,0,✅ Safe,Tidak ada tindakan
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.26516086,0,✅ Safe,Tidak ada tindakan
0.58159065,0,⚠️ Low Risk,Kirim reminder email
0.6874842,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.73820585,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.57888675,0,⚠️ Low Risk,Kirim reminder email
0.5669144,0,⚠️ Low Risk,Kirim reminder email
0.74757725,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.26142526,0,✅ Safe,Tidak ada tindakan
0.27248666,0,✅ Safe,Tidak ada tindakan
0.7509111,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.57392204,0,⚠️ Low Risk,Kirim reminder email
0.5608163,0,⚠️ Low Risk,Kirim reminder email
0.78465927,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.24684191,0,✅ Safe,Tidak ada tindakan
0.73820585,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.67708045,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.57888675,0,⚠️ Low Risk,Kirim reminder email
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.628368,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.26476717,0,✅ Safe,Tidak ada tindakan
0.8641168,1,⚠️ High Risk,Minta deposit 100%
0.28976887,0,✅ Safe,Tidak ada tindakan
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.65350825,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.48189884,0,✅ Safe,Tidak ada tindakan
0.7359696,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.26160997,0,✅ Safe,Tidak ada tindakan
0.5657212,0,⚠️ Low Risk,Kirim reminder email
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.55949706,0,⚠️ Low Risk,Kirim reminder email
0.26794738,0,✅ Safe,Tidak ada tindakan
0.6863616,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5570131,0,⚠️ Low Risk,Kirim reminder email
0.5852912,0,⚠️ Low Risk,Kirim reminder email
0.6863616,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.56812,0,⚠️ Low Risk,Kirim reminder email
0.5861217,0,⚠️ Low Risk,Kirim reminder email
0.7849435,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.7787057,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5782158,0,⚠️ Low Risk,Kirim reminder email
0.5824724,0,⚠️ Low Risk,Kirim reminder email
0.69662213,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.57888675,0,⚠️ Low Risk,Kirim reminder email
0.6904844,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.26662028,0,✅ Safe,Tidak ada tindakan
0.25445798,0,✅ Safe,Tidak ada tindakan
0.58293444,0,⚠️ Low Risk,Kirim reminder email
0.6046919,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.25383458,0,✅ Safe,Tidak ada tindakan
0.5669684,0,⚠️ Low Risk,Kirim reminder email
0.24983703,0,✅ Safe,Tidak ada tindakan
0.647885,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.64091724,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6863616,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5608163,0,⚠️ Low Risk,Kirim reminder email
0.7163871,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.3337044,0,✅ Safe,Tidak ada tindakan
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.56812,0,⚠️ Low Risk,Kirim reminder email
0.76072603,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.86932796,1,⚠️ High Risk,Minta deposit 100%
0.5570131,1,⚠️ Low Risk,Kirim reminder email
0.6904844,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.26142526,0,✅ Safe,Tidak ada tindakan
0.56901413,0,⚠️ Low Risk,Kirim reminder email
0.807287,0,⚠️ High Risk,Minta deposit 100%
0.24758145,0,✅ Safe,Tidak ada tindakan
0.31592962,0,✅ Safe,Tidak ada tindakan
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.26928803,0,✅ Safe,Tidak ada tindakan
0.45723954,0,✅ Safe,Tidak ada tindakan
0.5532588,0,⚠️ Low Risk,Kirim reminder email
0.7045027,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5608163,1,⚠️ Low Risk,Kirim reminder email
0.6046919,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.598104,1,⚠️ Low Risk,Kirim reminder email
0.63773096,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6348074,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.2620622,0,✅ Safe,Tidak ada tindakan
0.23964022,0,✅ Safe,Tidak ada tindakan
0.807287,0,⚠️ High Risk,Minta deposit 100%
0.23962282,0,✅ Safe,Tidak ada tindakan
0.5608163,0,⚠️ Low Risk,Kirim reminder email
0.25938433,0,✅ Safe,Tidak ada tindakan
0.25117266,0,✅ Safe,Tidak ada tindakan
0.2540493,0,✅ Safe,Tidak ada tindakan
0.6863616,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.47089246,0,✅ Safe,Tidak ada tindakan
0.25408876,0,✅ Safe,Tidak ada tindakan
0.26020232,0,✅ Safe,Tidak ada tindakan
0.74757725,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.74757725,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.56812,0,⚠️ Low Risk,Kirim reminder email
0.5782158,1,⚠️ Low Risk,Kirim reminder email
0.5273329,0,⚠️ Low Risk,Kirim reminder email
0.3343227,0,✅ Safe,Tidak ada tindakan
0.7548784,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.41405496,0,✅ Safe,Tidak ada tindakan
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.6508969,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.34008223,0,✅ Safe,Tidak ada tindakan
0.76395684,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5519901,0,⚠️ Low Risk,Kirim reminder email
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.58159065,1,⚠️ Low Risk,Kirim reminder email
0.7482019,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.7359696,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5893641,0,⚠️ Low Risk,Kirim reminder email
0.4207753,0,✅ Safe,Tidak ada tindakan
0.4656417,0,✅ Safe,Tidak ada tindakan
0.36016268,0,✅ Safe,Tidak ada tindakan
0.61706364,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.77042705,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.28144518,0,✅ Safe,Tidak ada tindakan
0.6046919,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.598104,0,⚠️ Low Risk,Kirim reminder email
0.7566069,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.7566069,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.27840894,0,✅ Safe,Tidak ada tindakan
0.26662028,0,✅ Safe,Tidak ada tindakan
0.87498146,1,⚠️ High Risk,Minta deposit 100%
0.35097408,0,✅ Safe,Tidak ada tindakan
0.4299422,0,✅ Safe,Tidak ada tindakan
0.8745662,1,⚠️ High Risk,Minta deposit 100%
0.28244016,1,✅ Safe,Tidak ada tindakan
0.53522915,1,⚠️ Low Risk,Kirim reminder email
0.25383458,0,✅ Safe,Tidak ada tindakan
0.38523403,0,✅ Safe,Tidak ada tindakan
0.6863616,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.26266238,0,✅ Safe,Tidak ada tindakan
0.5702972,1,⚠️ Low Risk,Kirim reminder email
0.6046919,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.28546768,0,✅ Safe,Tidak ada tindakan
0.58173776,0,⚠️ Low Risk,Kirim reminder email
0.23664647,0,✅ Safe,Tidak ada tindakan
0.26310143,0,✅ Safe,Tidak ada tindakan
0.28816375,0,✅ Safe,Tidak ada tindakan
0.3120766,0,✅ Safe,Tidak ada tindakan
0.5265957,1,⚠️ Low Risk,Kirim reminder email
0.27268463,0,✅ Safe,Tidak ada tindakan
0.44478342,0,✅ Safe,Tidak ada tindakan
0.7061691,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5657212,0,⚠️ Low Risk,Kirim reminder email
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.37488,0,✅ Safe,Tidak ada tindakan
0.45842454,0,✅ Safe,Tidak ada tindakan
0.35359702,0,✅ Safe,Tidak ada tindakan
0.7401891,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6027252,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5277655,0,⚠️ Low Risk,Kirim reminder email
0.47450662,0,✅ Safe,Tidak ada tindakan
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.26662028,0,✅ Safe,Tidak ada tindakan
0.6351823,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.3107941,0,✅ Safe,Tidak ada tindakan
0.62003547,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.77367204,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.57888675,0,⚠️ Low Risk,Kirim reminder email
0.3164315,0,✅ Safe,Tidak ada tindakan
0.69662213,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.25236726,0,✅ Safe,Tidak ada tindakan
0.7574962,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.27211392,0,✅ Safe,Tidak ada tindakan
0.48214066,0,✅ Safe,Tidak ada tindakan
0.6351823,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6005794,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.43003216,0,✅ Safe,Tidak ada tindakan
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.32165018,0,✅ Safe,Tidak ada tindakan
0.5561539,1,⚠️ Low Risk,Kirim reminder email
0.27268463,0,✅ Safe,Tidak ada tindakan
0.77570236,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.63396543,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.76946104,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.31005746,0,✅ Safe,Tidak ada tindakan
0.25455737,0,✅ Safe,Tidak ada tindakan
0.598104,0,⚠️ Low Risk,Kirim reminder email
0.6904844,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.27923378,0,✅ Safe,Tidak ada tindakan
0.598104,0,⚠️ Low Risk,Kirim reminder email
0.45842454,0,✅ Safe,Tidak ada tindakan
0.57888675,0,⚠️ Low Risk,Kirim reminder email
0.7566069,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.76616985,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.5771015,0,⚠️ Low Risk,Kirim reminder email
0.40553445,1,✅ Safe,Tidak ada tindakan
0.29020727,0,✅ Safe,Tidak ada tindakan
0.44929427,0,✅ Safe,Tidak ada tindakan
0.6544055,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6863616,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.74757725,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.36889866,0,✅ Safe,Tidak ada tindakan
0.32900706,0,✅ Safe,Tidak ada tindakan
0.67998827,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.25846305,0,✅ Safe,Tidak ada tindakan
0.32165018,0,✅ Safe,Tidak ada tindakan
0.60191566,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6056112,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.74757725,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6904844,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.30352163,0,✅ Safe,Tidak ada tindakan
0.23724192,0,✅ Safe,Tidak ada tindakan
0.28244016,0,✅ Safe,Tidak ada tindakan
0.87498146,1,⚠️ High Risk,Minta deposit 100%
0.24758145,0,✅ Safe,Tidak ada tindakan
0.38129622,0,✅ Safe,Tidak ada tindakan
0.28804937,0,✅ Safe,Tidak ada tindakan
0.76809144,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5702972,0,⚠️ Low Risk,Kirim reminder email
0.5211113,0,⚠️ Low Risk,Kirim reminder email
0.7849435,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.81147283,0,⚠️ High Risk,Minta deposit 100%
0.26266238,0,✅ Safe,Tidak ada tindakan
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.86612564,1,⚠️ High Risk,Minta deposit 100%
0.6046919,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.76072603,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.7566069,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.56812,0,⚠️ Low Risk,Kirim reminder email
0.26310143,0,✅ Safe,Tidak ada tindakan
0.5782158,1,⚠️ Low Risk,Kirim reminder email
0.26066673,0,✅ Safe,Tidak ada tindakan
0.31588057,0,✅ Safe,Tidak ada tindakan
0.25790638,0,✅ Safe,Tidak ada tindakan
0.6863616,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5561539,0,⚠️ Low Risk,Kirim reminder email
0.5532588,0,⚠️ Low Risk,Kirim reminder email
0.24758145,0,✅ Safe,Tidak ada tindakan
0.7566069,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.30307448,0,✅ Safe,Tidak ada tindakan
0.5238007,0,⚠️ Low Risk,Kirim reminder email
0.25694972,0,✅ Safe,Tidak ada tindakan
0.5854663,0,⚠️ Low Risk,Kirim reminder email
0.868526,1,⚠️ High Risk,Minta deposit 100%
0.598104,1,⚠️ Low Risk,Kirim reminder email
0.6740084,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.8696724,1,⚠️ High Risk,Minta deposit 100%
0.7160115,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.61277056,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.37082115,0,✅ Safe,Tidak ada tindakan
0.38620296,0,✅ Safe,Tidak ada tindakan
0.73820585,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.45723954,0,✅ Safe,Tidak ada tindakan
0.5865805,0,⚠️ Low Risk,Kirim reminder email
0.50733286,1,⚠️ Low Risk,Kirim reminder email
0.25945407,0,✅ Safe,Tidak ada tindakan
0.45723954,0,✅ Safe,Tidak ada tindakan
0.38129622,0,✅ Safe,Tidak ada tindakan
0.26310143,0,✅ Safe,Tidak ada tindakan
0.67415273,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.24770029,0,✅ Safe,Tidak ada tindakan
0.4795158,0,✅ Safe,Tidak ada tindakan
0.5962507,0,⚠️ Low Risk,Kirim reminder email
0.74757725,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.7548784,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6056112,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.31745532,0,✅ Safe,Tidak ada tindakan
0.33146742,0,✅ Safe,Tidak ada tindakan
0.26528466,0,✅ Safe,Tidak ada tindakan
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.25499552,0,✅ Safe,Tidak ada tindakan
0.76072603,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.78501475,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.255386,0,✅ Safe,Tidak ada tindakan
0.3231496,0,✅ Safe,Tidak ada tindakan
0.25391826,0,✅ Safe,Tidak ada tindakan
0.43054208,0,✅ Safe,Tidak ada tindakan
0.30458316,0,✅ Safe,Tidak ada tindakan
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.8642405,0,⚠️ High Risk,Minta deposit 100%
0.67415273,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.7479867,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.79572207,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.27623585,0,✅ Safe,Tidak ada tindakan
0.5861217,0,⚠️ Low Risk,Kirim reminder email
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.58173776,0,⚠️ Low Risk,Kirim reminder email
0.25818077,0,✅ Safe,Tidak ada tindakan
0.61187434,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.8676598,1,⚠️ High Risk,Minta deposit 100%
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.60191566,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.76809144,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.44467384,0,✅ Safe,Tidak ada tindakan
0.5238007,0,⚠️ Low Risk,Kirim reminder email
0.7864075,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
